nid,direct_ironic,friendly_hostile,proportionate_hyperbolic,octant
65_103,-1,0,-1,ironic+friendly+hyperbolic
77_130,1,0,1,direct+friendly+proportionate
68_267,-1,1,1,ironic+friendly+proportionate
63_301,1,1,-1,direct+friendly+hyperbolic
60_8,-1,1,1,ironic+friendly+proportionate
64_34,1,0,-1,direct+friendly+hyperbolic
63_30,1,0,1,direct+friendly+proportionate
73_42,-1,0,1,ironic+friendly+proportionate
77_252,1,0,1,direct+friendly+proportionate
65_307,1,0,1,direct+friendly+proportionate
75_331,1,0,-1,direct+friendly+hyperbolic
62_203,1,0,1,direct+friendly+proportionate
57_343,1,1,-1,direct+friendly+hyperbolic
78_113,-1,1,-1,ironic+friendly+hyperbolic
71_121,1,1,-1,direct+friendly+hyperbolic
78_146,1,0,1,direct+friendly+proportionate
77_120,-1,0,-1,ironic+friendly+hyperbolic
54_213,1,0,1,direct+friendly+proportionate
80_44,1,0,1,direct+friendly+proportionate
76_5,-1,0,-1,ironic+friendly+hyperbolic
66_158,1,1,1,direct+friendly+proportionate
67_207,1,0,1,direct+friendly+proportionate
76_136,1,1,1,direct+friendly+proportionate
77_284,1,0,1,direct+friendly+proportionate
61_357,1,1,1,direct+friendly+proportionate
79_297,1,0,1,direct+friendly+proportionate
64_136,1,1,1,direct+friendly+proportionate
73_86,1,0,1,direct+friendly+proportionate
77_341,1,0,1,direct+friendly+proportionate
77_66,1,1,1,direct+friendly+proportionate
54_155,1,0,1,direct+friendly+proportionate
78_226,1,0,-1,direct+friendly+hyperbolic
76_44,1,0,1,direct+friendly+proportionate
66_386,-1,0,-1,ironic+friendly+hyperbolic
63_143,1,1,-1,direct+friendly+hyperbolic
78_118,1,0,1,direct+friendly+proportionate
72_263,1,1,1,direct+friendly+proportionate
77_19,1,1,1,direct+friendly+proportionate
58_107,-1,0,-1,ironic+friendly+hyperbolic
58_269,1,0,1,direct+friendly+proportionate
54_289,1,0,1,direct+friendly+proportionate
80_22,-1,0,1,ironic+friendly+proportionate
72_9,1,1,1,direct+friendly+proportionate
54_22,1,0,-1,direct+friendly+hyperbolic
78_136,1,0,1,direct+friendly+proportionate
67_349,1,1,1,direct+friendly+proportionate
66_136,1,0,1,direct+friendly+proportionate
74_312,1,0,1,direct+friendly+proportionate
61_110,1,0,1,direct+friendly+proportionate
61_12,1,1,1,direct+friendly+proportionate
60_337,1,0,1,direct+friendly+proportionate
67_137,1,0,1,direct+friendly+proportionate
71_94,1,0,1,direct+friendly+proportionate
65_36,-1,0,-1,ironic+friendly+hyperbolic
